experiment_code,dataset,architecture,strategy,experiment_category,id,repo_hash,final_accuracy,Task Identification Accuracy,Accuracy given Bad Task Identification,Accuracy given Good Task Identification,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,lwf_alpha,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,replay_buffer,retrain_epochs,si_lambda,task_inference_strategy,total_task_epochs,use_adam,use_classifier_loss,use_experience_replay,use_generative_replay_strategy,use_learning_without_forgetting,use_packnet,use_reconstruction_loss,use_synaptic_intelligence,use_vae_loss,loss,vae_loss_weight,vanilla_cnn_config,rectangular_mlp_config,use_generative_replay
"['0070', 'ml-23', 'eff0210e', 'EP', 'splitEmbeddedCORe50', 'AE', 'taskOracle']",splitEmbeddedCORe50,AE,taskOracle,EP,0070,eff0210e,0.5948145389556885,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.9742966294288635, 0.9468892812728882, 0.9506999254226685, 0.9347594976425171, 0.8986265659332275, 0.8657341003417969, 0.8492024540901184, 0.7431656122207642, 0.660625696182251, 0.5945876836776733]",64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-23_eff0210e_EP_splitEmbeddedCORe50_AE_taskOracle,rectangular,0.5,mse,1.0,1000.0,3.0,1000.0,task_oracle,10.0,True,True,False,False,False,True,True,False,False,,,,,
"['0291', 'ml-22', 'ad06b17a', 'OS', 'splitFMNIST', 'AE', 'LwF']",splitFMNIST,AE,LwF,OS,0291,ad06b17a,0.19939999282360077,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,4.0,5.0,ml-22_ad06b17a_OS_splitFMNIST_LwF_AE,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,False,True,False,False,True,False,True,False,False,,,,,
"['0058', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'VAE', 'cumulative']",splitEmbeddedCIFAR100,VAE,cumulative,N,0058,dd88ddf,0.31380000710487366,,,,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,,1.0,splitEmbeddedCIFAR100_VAE_cumulative,rectangular_network,0.7,mse,1.0,,5.0,,,20.0,,True,,,,False,True,,True,1.014315128326416,0.001,,,
"['0037', 'ml-25', '44424907', 'PL', 'splitCIFAR10', 'VAE', 'taskInference']",splitCIFAR10,VAE,taskInference,PL,0037,44424907,0.460999995470047,"[1.0, 1.0, 0.8880000114440918, 0.6520000100135803, 0.4959999918937683]","[nan, nan, 0.0, 0.0, 0.0]","[0.9729999899864197, 0.9269999861717224, 0.9254879951477051, 0.9250383377075195, 0.9294354915618896]",64.0,1.0,CIFAR10,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitCIFAR10_VAE_taskInference,residual,0.4,bce,1.0,1000.0,10.0,1000.0,task_reconstruction_loss,50.0,True,True,False,False,False,True,True,False,True,,0.001,,,
"['0104', 'ml-25', 'e2133f95', 'EP', 'splitEmbeddedCIFAR100', 'AE', 'taskOracle']",splitEmbeddedCIFAR100,AE,taskOracle,EP,0104,e2133f95,0.6290000081062317,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.523223340511322, 0.6062182784080505, 0.6699238419532776, 0.7029822468757629, 0.7312690615653992, 0.7201564908027649, 0.7192168235778809, 0.7223032712936401, 0.6990411877632141, 0.6291370391845703]",64.0,1.0,CIFAR100,AE,cuda,ResNet50,False,2048,False,512.0,0.0001,32.0,10.0,ml-25_e2133f95_EP_splitEmbeddedCIFAR100_AE_taskOracle,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,1000.0,30.0,1000.0,task_oracle,100.0,True,True,False,False,False,True,True,False,False,,,,,
"['0083', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,N,0083,dd88ddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['0046', 'ml-24', 'dd88ddf', 'N', 'splitCORe50', 'VAE', 'taskInference']",splitCORe50,VAE,taskInference,N,0046,dd88ddf,0.05309970676898956,"[1.0, 0.6847959160804749, 0.38425618410110474, 0.2677489221096039, 0.24262908101081848, 0.230629563331604, 0.17198120057582855, 0.14153513312339783, 0.1579376459121704, 0.10897891968488693]","[nan, 0.0, 0.02106657065451145, 0.0016703363507986069, 0.0, 0.00019265039009042084, 3.835679672192782e-05, 0.009905797429382801, 0.015784069895744324, 0.016470763832330704]","[0.8025789260864258, 0.5561149716377258, 0.6608796119689941, 0.7306893467903137, 0.6799853444099426, 0.622107982635498, 0.6373037695884705, 0.4680934548377991, 0.32207101583480835, 0.35258111357688904]",64.0,1.0,CORe50_NC,VAE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,,10.0,splitCORe50_VAE_taskInference,residual_network,0.5,,1.0,,1.0,,task_reconstruction_loss,4.0,,True,,,,True,True,,True,1.8032320737838745,0.001,{'base_channels': 128},,
"['0292', 'ml-22', 'ad06b17a', 'OS', 'splitFMNIST', 'AE', 'LwF']",splitFMNIST,AE,LwF,OS,0292,ad06b17a,0.19930000603199005,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,8.0,5.0,ml-22_ad06b17a_OS_splitFMNIST_LwF_AE,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,False,True,False,False,True,False,True,False,False,,,,,
"['0041', 'ml-23', 'eff0210e', 'EP', 'splitFMNIST', 'AE', 'cumulative']",splitFMNIST,AE,cumulative,EP,0041,eff0210e,0.9023000001907349,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,32.0,1.0,ml-23_eff0210e_EP_splitFMNIST_AE_cumulative,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,True,True,False,False,False,False,True,False,False,,,,,
"['0220', 'ml-22', '6d14d70a', 'OS', 'splitCORe50', 'AE', 'LwF']",splitCORe50,AE,LwF,OS,0220,6d14d70a,0.05138752982020378,,,,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,32.0,10.0,ml-22_6d14d70a_OS_splitCORe50_AE_LwF,residual,0.5,bce,1.0,1000.0,1.0,1000.0,,5.0,,True,False,False,True,False,True,False,False,,,,,
"['0030', 'ml-24', 'dd88ddf', 'N', 'splitCORe50', 'VAE', 'finetuning']",splitCORe50,VAE,finetuning,N,0030,dd88ddf,0.07506892830133438,,,,64.0,1.0,CORe50_NC,VAE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,,10.0,splitCORe50_VAE_finetuning,residual_network,,,1.0,,1.0,,,4.0,,True,,,,False,True,,True,0.23960508406162262,0.001,{'base_channels': 128},,
"['0013', 'ml-23', '2ac2112a', 'EP', 'splitCIFAR100', 'VAE', 'taskInference']",splitCIFAR100,VAE,taskInference,EP,0013,2ac2112a,0.011800000444054604,"[1.0, 0.9679999947547913, 0.4959999918937683, 0.3619999885559082, 0.3407999873161316, 0.2906666696071625, 0.22171428799629211, 0.2370000034570694, 0.1679999977350235, 0.15119999647140503]","[nan, 0.109375, 0.05886243283748627, 0.03722570464015007, 0.02366504818201065, 0.021146615967154503, 0.017070485278964043, 0.014252948574721813, 0.011618589982390404, 0.013784165494143963]","[0.10000000149011612, 0.05165289342403412, 0.01411290280520916, 0.005524862091988325, 0.008802817203104496, 0.01089449506253004, 0.010309278033673763, 0.010548523627221584, 0.0006613756413571537, 0.0006613756413571537]",64.0,1.0,CIFAR100,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,,10.0,ml-23_2ac2112a_EP_splitCIFAR100_VAE_taskInference,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,,20.0,,task_reconstruction_loss,100.0,,True,False,,False,True,True,False,True,,1.0,,,
"['0019', 'ml-25', '44424907', 'PL', 'splitCORe50', 'AE', 'taskInference']",splitCORe50,AE,taskInference,PL,0019,44424907,0.07551365345716476,"[1.0, 0.5073962807655334, 0.3713586926460266, 0.27853450179100037, 0.24556410312652588, 0.2053581327199936, 0.15565648674964905, 0.13392062485218048, 0.13328227400779724, 0.11854042857885361]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012834911467507482, 0.00011401533265598118, 0.00010090562864206731]","[0.8056914210319519, 0.814774215221405, 0.806187629699707, 0.8267465233802795, 0.7030061483383179, 0.7038975358009338, 0.715772271156311, 0.652209997177124, 0.6476367115974426, 0.6362783908843994]",64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,64.0,0.0001,32.0,10.0,ml-25_44424907_PL_splitCORe50_AE_taskInference,residual,0.6,bce,1.0,1000.0,1.0,1000.0,task_reconstruction_loss,5.0,True,True,False,False,False,True,True,False,False,,,,,
"['0204', 'ml-22', 'a7f3111e', 'OS', 'splitFMNIST', 'AE', 'strategy']",splitFMNIST,AE,strategy,OS,0204,a7f3111e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['0090', 'ml-25', 'e2133f95', 'EP', 'splitCIFAR100', 'AE', 'taskOracle']",splitCIFAR100,AE,taskOracle,EP,0090,e2133f95,0.5555999875068665,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.10076142102479935, 0.4093274176120758, 0.5082487463951111, 0.5648159980773926, 0.5918527841567993, 0.6130499243736267, 0.6180384159088135, 0.6272208094596863, 0.6061054468154907, 0.5554187893867493]",64.0,1.0,CIFAR100,AE,cuda,None,False,"[3, 32, 32]",True,64.0,0.0001,32.0,10.0,ml-25_e2133f95_EP_splitCIFAR100_AE_taskOracle,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,1000.0,20.0,1000.0,task_oracle,100.0,True,True,False,False,False,True,True,False,False,,,,,
"['0077', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,N,0077,dd88ddf,0.4068000018596649,"[1.0, 1.0, 1.0, 0.7979999780654907, 0.9872000217437744, 0.9253333210945129, 0.829714298248291, 0.734000027179718, 0.6595555543899536, 0.5935999751091003]","[nan, nan, nan, 0.655940592288971, 0.0, 0.3214285671710968, 0.02936241589486599, 0.01315789483487606, 0.0, 0.0]","[0.7379999756813049, 0.7245000004768372, 0.7316666841506958, 0.7280701994895935, 0.7072528600692749, 0.6943444013595581, 0.6888774037361145, 0.6876702904701233, 0.6853099465370178, 0.6853099465370178]",64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,128.0,0.0001,,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.7,mse,1.0,,5.0,,task_reconstruction_loss,20.0,,True,,,,True,True,,False,1.4017610549926758,,,"{'depth': 4, 'width': 512}",
"['0061', 'ml-23', 'eff0210e', 'EP', 'splitCIFAR100', 'VAE', 'finetuning']",splitCIFAR100,VAE,finetuning,EP,0061,eff0210e,0.0885000005364418,,,,64.0,1.0,CIFAR100,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,32.0,10.0,ml-23_eff0210e_EP_splitCIFAR100_VAE_finetuning,residual,0.5,bce,1.0,1000.0,20.0,1000.0,,100.0,True,True,False,False,False,False,True,False,True,,0.001,,,
"['0001', 'ml-25', '44424907', 'PL', 'splitFMNIST', 'AE', 'taskInference']",splitFMNIST,AE,taskInference,PL,0001,44424907,0.7781000137329102,"[1.0, 1.0, 1.0, 0.9819999933242798, 0.979200005531311]","[nan, nan, nan, 0.0, 0.0]","[0.9955000281333923, 0.9835000038146973, 0.9886666536331177, 0.9904531836509705, 0.7946282625198364]",64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitFMNIST_AE_taskInference,vanilla_cnn,0.2,bce,1.0,1000.0,5.0,1000.0,task_reconstruction_loss,20.0,True,True,False,False,False,True,True,False,False,,,,,
"['0253', 'ml-22', 'ad06b17a', 'OS', 'splitCIFAR10', 'AE', 'SI']",splitCIFAR10,AE,SI,OS,0253,ad06b17a,0.18310000002384186,,,,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.01,32.0,5.0,ml-22_ad06b17a_OS_splitCIFAR10_SI_AE,residual,0.5,bce,1.0,1000.0,10.0,1000.0,,50.0,False,True,False,False,False,False,True,True,False,,,,,
"['0325', 'ml-22', '39425fcb', 'OS', 'splitCIFAR10', 'AE', 'LwF']",splitCIFAR10,AE,LwF,OS,0325,39425fcb,0.19429999589920044,,,,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.01,0.5,5.0,ml-22_39425fcb_OS_splitCIFAR10_AE_LwF,residual,0.5,bce,1.0,1000.0,10.0,1000.0,,50.0,False,True,False,False,True,False,True,False,False,,,,,
"['0248', 'ml-22', 'ad06b17a', 'OS', 'splitFMNIST', 'AE', 'SI']",splitFMNIST,AE,SI,OS,0248,ad06b17a,0.20419999957084656,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,32.0,5.0,ml-22_ad06b17a_OS_splitFMNIST_SI_AE,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,4000.0,,20.0,False,True,False,False,False,False,True,True,False,,,,,
"['0305', 'ml-22', '54f30668', 'OS', 'splitCIFAR10', 'LwF', 'AE']",splitCIFAR10,LwF,AE,OS,0305,54f30668,0.9595000147819519,,,,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.01,64.0,5.0,ml-22_54f30668_OS_splitCIFAR10_LwF_AE,residual,0.5,bce,1.0,1000.0,10.0,1000.0,,50.0,False,True,False,False,True,False,True,False,False,,,,,
"['0143', 'ml-24', 'dd88ddf', 'EP', 'splitCIFAR10', 'AE', 'taskInference']",splitCIFAR10,AE,taskInference,EP,0143,dd88ddf,0.4302999973297119,"[1.0, 0.5, 0.36533331871032715, 0.3240000009536743, 0.4528000056743622]","[nan, 0.0, 0.0, 0.0, 0.0]","[0.9455000162124634, 0.8830000162124634, 0.9051094651222229, 0.9591049551963806, 0.9503092169761658]",64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,,5.0,EP_splitCIFAR10_AE_taskInference,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,,10.0,,task_reconstruction_loss,50.0,,True,,,,True,True,,False,,0.001,,,
"['0064', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'VAE', 'finetuning']",splitEmbeddedCIFAR100,VAE,finetuning,N,0064,dd88ddf,0.07760000228881836,,,,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,,10.0,splitEmbeddedCIFAR100_VAE_finetuning,rectangular_network,0.7,mse,1.0,,10.0,,,50.0,,True,,,,False,True,,True,0.1902931034564972,0.001,,,
"['0146', 'ml-24', 'dd88ddf', 'EP', 'splitFMNIST', 'VAE', 'taskInference']",splitFMNIST,VAE,taskInference,EP,0146,dd88ddf,0.9929999709129333,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9929999709129333, 0.9829999804496765, 0.9888333082199097, 0.9922500252723694, 0.9929999709129333]",64.0,1.0,FMNIST,VAE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,,5.0,EP_splitFMNIST_VAE_taskInference,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,,5.0,,task_reconstruction_loss,20.0,,True,,,,True,True,,True,,0.001,,,
"['0092', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,N,0092,dd88ddf,0.7885000109672546,"[0.6159999966621399, 0.5640000104904175]","[0.8020833134651184, 0.7844036817550659]","[0.7905844449996948, 0.7916666865348816]",64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.5,mse,1.0,,25.0,,task_reconstruction_loss,100.0,,True,,,,True,True,,False,2.5131449699401855,,,,
"['0036', 'ml-25', '44424907', 'PL', 'splitCIFAR10', 'VAE', 'taskInference']",splitCIFAR10,VAE,taskInference,PL,0036,44424907,0.37790000438690186,"[1.0, 1.0, 0.653333306312561, 0.5080000162124634, 0.41280001401901245]","[nan, nan, 0.0, 0.0, 0.0]","[0.972000002861023, 0.9157500267028809, 0.9165816307067871, 0.9168307185173035, 0.9154554009437561]",64.0,1.0,CIFAR10,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitCIFAR10_VAE_taskInference,residual,0.2,bce,1.0,1000.0,10.0,1000.0,task_reconstruction_loss,50.0,True,True,False,False,False,True,True,False,True,,0.001,,,
"['0110', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCORe50', 'VAE', 'cumulative']",splitEmbeddedCORe50,VAE,cumulative,N,0110,dd88ddf,0.7593169212341309,,,,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,,1.0,splitEmbeddedCORe50_VAE_cumulative,rectangular,0.5,mse,1.0,,3.0,,,10.0,,True,,,,False,True,,True,,0.001,,,
"['0039', 'ml-23', '6d14d70a', 'EP', 'splitEmbeddedCIFAR100', 'VAE', 'taskInference']",splitEmbeddedCIFAR100,VAE,taskInference,EP,0039,6d14d70a,0.5796999931335449,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9679999947547913, 0.9057777523994446, 0.8087999820709229]","[nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0]","[0.7580000162124634, 0.7630000114440918, 0.7693333625793457, 0.7647500038146973, 0.7638000249862671, 0.7618333101272583, 0.7480000257492065, 0.7281766533851624, 0.7131991982460022, 0.7167408466339111]",64.0,1.0,CIFAR100,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-23_6d14d70a_EP_splitEmbeddedCIFAR100_VAE_taskInference,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,1000.0,30.0,1000.0,task_reconstruction_loss,100.0,,True,False,False,False,True,True,False,True,,0.001,,,
"['0057', 'ml-23', 'eff0210e', 'EP', 'splitEmbeddedCIFAR100', 'AE', 'finetuning']",splitEmbeddedCIFAR100,AE,finetuning,EP,0057,eff0210e,0.08550000190734863,,,,64.0,1.0,CIFAR100,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-23_eff0210e_EP_splitEmbeddedCIFAR100_AE_finetuning,rectangular,0.5,mse,1.0,1000.0,30.0,1000.0,,100.0,True,True,False,False,False,False,True,False,False,,,,,
"['0073', 'ml-25', 'e2133f95', 'EP', 'splitCIFAR10', 'AE', 'taskOracle']",splitCIFAR10,AE,taskOracle,EP,0073,e2133f95,0.9514999985694885,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9673038125038147, 0.9727741479873657, 0.9670942425727844, 0.9663920998573303, 0.9513581395149231]",64.0,1.0,CIFAR10,AE,cuda,None,False,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_e2133f95_EP_splitCIFAR10_AE_taskOracle,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,1000.0,10.0,1000.0,task_oracle,50.0,True,True,False,False,False,True,True,False,False,,,,,
"['0235', 'ml-22', '77513f89', 'OS', 'splitCORe50', 'AE', 'SI']",splitCORe50,AE,SI,OS,0235,77513f89,0.02130214311182499,,,,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,32.0,10.0,ml-22_77513f89_OS_splitCORe50_AE_SI,residual,0.5,bce,1.0,1000.0,1.0,1000.0,,5.0,False,True,False,False,False,False,True,True,False,,,,,
"['0318', 'ml-22', '39425fcb', 'OS', 'splitFMNIST', 'AE', 'LwF']",splitFMNIST,AE,LwF,OS,0318,39425fcb,0.19949999451637268,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,2.0,5.0,ml-22_39425fcb_OS_splitFMNIST_AE_LwF,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,False,True,False,False,True,False,True,False,False,,,,,
"['0283', 'ml-22', 'ad06b17a', 'OS', 'splitEmbeddedCORe50', 'AE', 'SI']",splitEmbeddedCORe50,AE,SI,OS,0283,ad06b17a,0.0644623339176178,,,,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.01,32.0,10.0,ml-22_ad06b17a_OS_splitEmbeddedCORe50_SI_AE,rectangular,0.5,mse,1.0,1000.0,3.0,4000.0,,10.0,False,True,False,False,False,False,True,True,False,,,,,
"['0328', 'ml-22', '39425fcb', 'OS', 'splitCIFAR100', 'AE', 'LwF']",splitCIFAR100,AE,LwF,OS,0328,39425fcb,0.07769999653100967,,,,64.0,1.0,CIFAR100,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.01,2.0,10.0,ml-22_39425fcb_OS_splitCIFAR100_AE_LwF,residual,0.5,bce,1.0,1000.0,20.0,1000.0,,100.0,False,True,False,False,True,False,True,False,False,,,,,
"['0078', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'VAE', 'taskInference']",splitEmbeddedCIFAR100,VAE,taskInference,N,0078,dd88ddf,,,,,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,2048,False,128.0,0.0001,,10.0,splitEmbeddedCIFAR100_VAE_taskInference,rectangular_network,0.7,mse,1.0,,5.0,,task_reconstruction_loss,20.0,,True,,,,True,True,,True,0.5074913501739502,0.001,,"{'depth': 4, 'width': 512}",
"['0119', 'ml-25', 'e2133f95', 'EP', 'splitEmbeddedCORe50', 'AE', 'taskOracle']",splitEmbeddedCORe50,AE,taskOracle,EP,0119,e2133f95,0.7994752526283264,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.9708480834960938, 0.926971971988678, 0.9269521236419678, 0.9364664554595947, 0.9428402781486511, 0.9450861215591431, 0.9266490340232849, 0.9136852025985718, 0.8882192373275757, 0.7994382977485657]",64.0,1.0,CORe50_NC,AE,cuda,ResNet50,False,2048,False,512.0,0.0001,32.0,10.0,ml-25_e2133f95_EP_splitEmbeddedCORe50_AE_taskOracle,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,1000.0,3.0,1000.0,task_oracle,10.0,True,True,False,False,False,True,True,False,False,,,,,
"['0066', 'ml-25', 'e2133f95', 'EP', 'splitFMNIST', 'AE', 'taskOracle']",splitFMNIST,AE,taskOracle,EP,0066,e2133f95,0.9918000102043152,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9703219532966614, 0.9851609468460083, 0.9872568845748901, 0.9899396300315857, 0.9917504787445068]",64.0,1.0,FMNIST,AE,cuda,None,False,"[1, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_e2133f95_EP_splitFMNIST_AE_taskOracle,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,1000.0,5.0,1000.0,task_oracle,20.0,True,True,False,False,False,True,True,False,False,,,,,
"['0207', 'ml-22', '6d14d70a', 'OS', 'splitFMNIST', 'AE', 'SI']",splitFMNIST,AE,SI,OS,0207,6d14d70a,0.1987999975681305,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-22_6d14d70a_OS_splitFMNIST_AE_SI,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,,True,False,False,False,False,True,True,False,,,,,
"['0040', 'ml-25', '44424907', 'PL', 'splitCIFAR10', 'VAE', 'taskInference']",splitCIFAR10,VAE,taskInference,PL,0040,44424907,0.6603000164031982,"[1.0, 0.984000027179718, 0.871999979019165, 0.8159999847412109, 0.7024000287055969]","[nan, 0.0, 0.0, 0.0, 0.0]","[0.9580000042915344, 0.9171748161315918, 0.9225917458534241, 0.9424019455909729, 0.9400626420974731]",64.0,1.0,CIFAR10,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitCIFAR10_VAE_taskInference,residual,0.8,bce,1.0,1000.0,10.0,1000.0,task_reconstruction_loss,50.0,True,True,False,False,False,True,True,False,True,,0.001,,,
"['0029', 'ml-24', 'dd88ddf', 'N', 'splitCIFAR100', 'VAE', 'finetuning']",splitCIFAR100,VAE,finetuning,N,0029,dd88ddf,0.08910000324249268,,,,64.0,1.0,CIFAR100,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,,10.0,splitCIFAR100_VAE_finetuning,residual_network,,,1.0,,20.0,,,100.0,,True,,,,False,True,,True,0.2149050086736679,0.001,{'base_channels': 128},,
"['0002', 'ml-25', '44424907', 'PL', 'splitFMNIST', 'AE', 'taskInference']",splitFMNIST,AE,taskInference,PL,0002,44424907,0.9932000041007996,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9934999942779541, 0.984499990940094, 0.9896666407585144, 0.9921249747276306, 0.9932000041007996]",64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitFMNIST_AE_taskInference,vanilla_cnn,0.4,bce,1.0,1000.0,5.0,1000.0,task_reconstruction_loss,20.0,True,True,False,False,False,True,True,False,False,,,,,
